family,metric,tier,direction,arm,n_runs,median,normalised,status,note
planning,P1,reference,higher,schema_repro,4,1.015264,1.0000,ok,"runs: ok=4, not-applicable=4; no cross-arm contrast; demoted to reference tier by the gaming audit; control arm"
planning,P1,reference,higher,theoria_a0,0,,,not-applicable,runs: not-applicable=2; reason: the run records no model calls; no cross-arm contrast; demoted to reference tier by the gaming audit
planning,P1,reference,higher,theoria_a0_spike,0,,,not-applicable,runs: not-applicable=1; reason: the run records no environment steps; no cross-arm contrast; demoted to reference tier by the gaming audit
planning,P1,reference,higher,theoria_a2,0,,,not-applicable,runs: not-applicable=4; reason: the run records no model calls; no cross-arm contrast; demoted to reference tier by the gaming audit
planning,P2,reference,higher,bare_cc,70,-0.124935,0.0000,ok,"runs: ok=70, insufficient-data=8, not-applicable=2; no cross-arm contrast; demoted to reference tier by the gaming audit; control arm"
planning,P2,reference,higher,schema_repro,4,0.008214,1.0000,ok,"runs: ok=4, not-applicable=4; no cross-arm contrast; demoted to reference tier by the gaming audit; control arm"
planning,P2,reference,higher,theoria_a0,0,,,not-applicable,runs: not-applicable=2; reason: the run records no model calls; no cross-arm contrast; demoted to reference tier by the gaming audit
planning,P2,reference,higher,theoria_a0_spike,0,,,not-applicable,runs: not-applicable=1; reason: the run records no environment steps; no cross-arm contrast; demoted to reference tier by the gaming audit
planning,P2,reference,higher,theoria_a2,0,,,not-applicable,runs: not-applicable=4; reason: the run records no model calls; no cross-arm contrast; demoted to reference tier by the gaming audit
planning,P3,main,lower,bare_cc,71,0.000000,1.0000,ok,"runs: ok=71, insufficient-data=9; control arm"
planning,P3,main,lower,schema_repro,8,0.000000,1.0000,ok,runs: ok=8; control arm
planning,P3,main,lower,theoria_a0,2,0.148536,0.0000,ok,runs: ok=2
planning,P3,main,lower,theoria_a0_spike,0,,,not-applicable,runs: not-applicable=1; reason: the run records no environment steps
planning,P3,main,lower,theoria_a2,4,0.093593,0.3699,ok,runs: ok=4
planning,P4,main,lower,bare_cc,0,,,not-applicable,runs: not-applicable=80; reason: no ground truth is available for this run; no cross-arm contrast; control arm
planning,P4,main,lower,schema_repro,0,,,not-applicable,runs: not-applicable=8; reason: no optimal plan length is known; no cross-arm contrast; control arm
planning,P4,main,lower,theoria_a0,0,,,not-applicable,runs: not-applicable=2; reason: no optimal plan length is known; no cross-arm contrast
planning,P4,main,lower,theoria_a0_spike,0,,,not-applicable,runs: not-applicable=1; reason: the run records no environment steps; no cross-arm contrast
planning,P4,main,lower,theoria_a2,1,1.000000,0.5000,ok,"runs: ok=1, not-applicable=3; row has no spread across arms; normalised fixed at 0.5; no cross-arm contrast"
planning,P5,reference,neutral,bare_cc,80,0.263158,1.0000,ok,"runs: ok=80; neutral: not oriented, support rather than a ranking; demoted to reference tier by the gaming audit; control arm"
planning,P5,reference,neutral,schema_repro,8,0.000000,0.0000,ok,"runs: ok=8; neutral: not oriented, support rather than a ranking; demoted to reference tier by the gaming audit; control arm"
planning,P5,reference,neutral,theoria_a0,2,0.000000,0.0000,ok,"runs: ok=2; neutral: not oriented, support rather than a ranking; demoted to reference tier by the gaming audit"
planning,P5,reference,neutral,theoria_a0_spike,0,,,not-applicable,"runs: not-applicable=1; reason: the run records no environment steps; neutral: not oriented, support rather than a ranking; demoted to reference tier by the gaming audit"
planning,P5,reference,neutral,theoria_a2,4,0.000000,0.0000,ok,"runs: ok=4; neutral: not oriented, support rather than a ranking; demoted to reference tier by the gaming audit"
