order,beat,name_bilingual,name_en,phase,status,claim,key_metric,key_value,value_kind,evidence,note
130,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",latch_lean_green,true,measured,a2_repair_report:certify_lean_latch.green,
131,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",latch_lean_axioms,0,real-zero,a2_repair_report:certify_lean_latch.axiom_reports[0].axioms,
132,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",cheap_frames,196,measured,a2_repair_report:certify_cheap.frames,
133,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",cheap_transitions,195,measured,a2_repair_report:certify_cheap.transitions,
134,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",cheap_pixels_checked,15876,measured,a2_repair_report:certify_cheap.pixels_checked,
135,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",cheap_anomaly_kinds,0,real-zero,a2_repair_report:certify_cheap.anomaly_kinds,
136,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",cheap_pixels_unexplained,,structurally-absent,a2_repair_report:certify_cheap (no 'pixels_unexplained' key),"exhibit_report emits this key and repair_report does not; the empty anomaly list is what is on the record, so no 0 is borrowed from the other artefact"
137,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",cheap_green,true,measured,a2_repair_report:certify_cheap.green,
138,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",region_zero_space_proposed,22,measured,a2_repair_report:region.zero_space_size,
139,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",region_adopted,35,measured,a2_repair_report:region.adopted_size,"widened to the manual's own reachability closure, computed by running theory.py"
140,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",pocket_in_closure,false,measured,a2_repair_report:region.pocket_in_closure,
141,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",world_states_with_cart_in_pocket,0,real-zero,a2_repair_report:scored_against_the_world.world_states_with_cart_in_pocket,"0 of 55 reachable states -- enumerated, not assumed"
142,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",reachable_states,55,measured,a2_trace_summary:raw_trace.reachable_states,
143,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",true_of_the_world,true,measured,a2_repair_report:scored_against_the_world.true_of_the_world,
144,L6,解出 · solved,solved,loop,pass,"the repaired manual plans, and the world agrees",plan_status,SAT,measured,a2_plan_repaired:status,
145,L6,解出 · solved,solved,loop,pass,"the repaired manual plans, and the world agrees",plan_length,18,measured,a2_plan_repaired:length,
146,L6,解出 · solved,solved,loop,pass,"the repaired manual plans, and the world agrees",manual_reaches_goal,true,measured,a2_plan_repaired:manual_reaches_goal,
147,L6,解出 · solved,solved,loop,pass,"the repaired manual plans, and the world agrees",world_reaches_goal,true,measured,a2_plan_repaired:world_reaches_goal,
148,L6,解出 · solved,solved,loop,pass,"the repaired manual plans, and the world agrees",execution_mismatches,0,real-zero,a2_plan_repaired:execution_mismatches,a measured zero: all 18 planned steps were executed against the world and none diverged
149,L6,解出 · solved,solved,loop,pass,"the repaired manual plans, and the world agrees",backend,stub-bfs,measured,a2_plan_repaired:backend,"the BFS stub, not a Fast Downward rung -- see engine-rig STATUS.md P-13"
150,L6,解出 · solved,solved,loop,pass,"the repaired manual plans, and the world agrees",green,true,measured,a2_plan_repaired:green,
151,LEDGER,,,accounting,,,ledger_beats_total,8,measured,a2_loop_ledger:summary.total,M0 + M5 + L1-L6. The repair loop proper is the six L-beats; the other two are prelude
152,LEDGER,,,accounting,,,ledger_beats_pass,8,measured,a2_loop_ledger:summary.pass,
153,LEDGER,,,accounting,,,ledger_beats_fail,0,real-zero,a2_loop_ledger:summary.fail,
154,LEDGER,,,accounting,,,ledger_beats_absent,0,real-zero,a2_loop_ledger:summary.absent,a real and meaningful zero: ledger.py has a third status 'absent' for a missing artefact; the channel was exercisable and no beat hit it
155,LEDGER,,,accounting,,,loop_beats_drawn,6,measured,figures/fig05_a2_repair_loop.py:LOOP_BEATS,the figure's own count: L1-L6
156,LEDGER,,,accounting,,,authority,"INC-004 ruling 2026-07-28, option (b): a self-built world isomorphic to DC22's failure structure.  No upstream DC22 artifact was read; the isomorphism argument cites only the structural description already printed in Theoria §1.3.",measured,a2_loop_ledger:authority,INC-004: a self-built world isomorphic to DC22's failure structure; no upstream DC22 artefact was read and the pile seal is intact
157,LEDGER,,,accounting,,,world,a2-base,measured,a2_loop_ledger:world,
158,K12,,share of the six repair beats that closed,battery,not-applicable,a0-base,K12[a0-base],,not-applicable,capability_spectrum:runs.a0-base.metrics.K12,"this arm records no repair episode; an arm with no manual cannot be refuted by one, so the absence is structural"
159,K13,,environment actions spent repairing / actions the theory cost,battery,not-applicable,a0-base,K13[a0-base],,not-applicable,capability_spectrum:runs.a0-base.metrics.K13,"this arm records no repair episode; an arm with no manual cannot be refuted by one, so the absence is structural"
160,K12,,share of the six repair beats that closed,battery,not-applicable,a0-no-button,K12[a0-no-button],,not-applicable,capability_spectrum:runs.a0-no-button.metrics.K12,"this arm records no repair episode; an arm with no manual cannot be refuted by one, so the absence is structural"
161,K13,,environment actions spent repairing / actions the theory cost,battery,not-applicable,a0-no-button,K13[a0-no-button],,not-applicable,capability_spectrum:runs.a0-no-button.metrics.K13,"this arm records no repair episode; an arm with no manual cannot be refuted by one, so the absence is structural"
162,K12,,share of the six repair beats that closed,battery,ok,a0-spike,K12[a0-spike],0.000,real-zero,capability_spectrum:runs.a0-spike.metrics.K12,0 of 24 beats closed over 4 episode(s)
163,K13,,environment actions spent repairing / actions the theory cost,battery,ok,a0-spike,K13[a0-spike],1.095,measured,capability_spectrum:runs.a0-spike.metrics.K13,"strategy: rebuild, over 4 episode(s); lower is better"
164,K12,,share of the six repair beats that closed,battery,not-applicable,a2-play-record,K12[a2-play-record],,not-applicable,capability_spectrum:runs.a2-play-record.metrics.K12,"this arm records no repair episode; an arm with no manual cannot be refuted by one, so the absence is structural"
165,K13,,environment actions spent repairing / actions the theory cost,battery,not-applicable,a2-play-record,K13[a2-play-record],,not-applicable,capability_spectrum:runs.a2-play-record.metrics.K13,"this arm records no repair episode; an arm with no manual cannot be refuted by one, so the absence is structural"
166,K12,,share of the six repair beats that closed,battery,ok,a2-probed,K12[a2-probed],1.000,measured,capability_spectrum:runs.a2-probed.metrics.K12,6 of 6 beats closed over 1 episode(s)
167,K13,,environment actions spent repairing / actions the theory cost,battery,ok,a2-probed,K13[a2-probed],0.262,measured,capability_spectrum:runs.a2-probed.metrics.K13,"strategy: patch, over 1 episode(s); lower is better"
168,K12,,share of the six repair beats that closed,battery,not-applicable,a2-refutation,K12[a2-refutation],,not-applicable,capability_spectrum:runs.a2-refutation.metrics.K12,"this arm records no repair episode; an arm with no manual cannot be refuted by one, so the absence is structural"
169,K13,,environment actions spent repairing / actions the theory cost,battery,not-applicable,a2-refutation,K13[a2-refutation],,not-applicable,capability_spectrum:runs.a2-refutation.metrics.K13,"this arm records no repair episode; an arm with no manual cannot be refuted by one, so the absence is structural"
170,K12,,share of the six repair beats that closed,battery,not-applicable,a2-sweep,K12[a2-sweep],,not-applicable,capability_spectrum:runs.a2-sweep.metrics.K12,"this arm records no repair episode; an arm with no manual cannot be refuted by one, so the absence is structural"
171,K13,,environment actions spent repairing / actions the theory cost,battery,not-applicable,a2-sweep,K13[a2-sweep],,not-applicable,capability_spectrum:runs.a2-sweep.metrics.K13,"this arm records no repair episode; an arm with no manual cannot be refuted by one, so the absence is structural"
